"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2024","252.00","264.50","266.00","249.00","525.74K","-4.42%"
"12/23/2024","263.66","255.26","268.00","252.00","651.86K","4.25%"
"12/20/2024","252.91","254.90","265.00","242.00","624.98K","-0.99%"
"12/19/2024","255.43","285.20","285.20","240.06","1.39M","-1.48%"
"12/18/2024","259.27","240.00","259.27","212.99","1.14M","10.00%"
"12/17/2024","235.70","254.98","256.00","230.00","325.72K","-7.56%"
"12/16/2024","254.98","253.00","264.34","251.00","352.71K","2.00%"
"12/13/2024","249.97","264.80","264.80","247.47","244.34K","-3.55%"
"12/12/2024","259.17","259.00","275.00","247.01","842.91K","1.99%"
"12/11/2024","254.11","249.90","254.11","249.90","348.05K","10.00%"
"12/10/2024","231.01","214.00","231.01","214.00","965.88K","10.00%"
"12/09/2024","210.01","203.25","212.12","185.00","3.45M","3.34%"
"12/06/2024","203.22","209.90","212.26","201.10","112.68K","-2.71%"
"12/05/2024","208.89","200.00","210.00","200.00","219.66K","3.55%"
"12/04/2024","201.72","204.00","207.89","199.00","94.05K","-1.11%"
"12/03/2024","203.98","208.00","208.99","203.00","117.45K","-1.81%"
"12/02/2024","207.74","201.00","213.00","198.50","886.26K","3.33%"
"11/29/2024","201.04","212.00","215.15","193.21","427.34K","-2.27%"
"11/28/2024","205.70","193.80","205.70","190.50","480.03K","10.00%"
"11/27/2024","187.00","174.11","187.00","174.11","406.92K","10.00%"
"11/26/2024","170.00","188.00","188.00","169.70","422.34K","-9.84%"
"11/25/2024","188.56","185.38","204.00","185.00","325.94K","1.50%"
"11/22/2024","185.78","181.70","190.90","179.01","302.14K","0.18%"
"11/21/2024","185.45","185.58","190.00","178.00","222.08K","-0.07%"
"11/20/2024","185.58","196.45","199.00","185.00","294.06K","-5.53%"
"11/19/2024","196.45","201.02","201.02","195.00","181.29K","-1.96%"
"11/18/2024","200.38","196.10","205.49","195.00","730.25K","0.24%"
"11/15/2024","199.91","213.99","219.19","194.50","1.15M","-4.57%"
"11/14/2024","209.48","199.80","209.48","198.00","1.03M","10.00%"
"11/13/2024","190.44","172.00","190.44","169.00","916.14K","10.00%"
"11/12/2024","173.13","174.99","177.49","171.00","202.60K","-1.36%"
"11/11/2024","175.51","176.53","185.98","164.60","2.09M","0.97%"
"11/08/2024","173.82","160.00","176.53","157.00","3.24M","8.31%"
"11/07/2024","160.48","158.14","166.00","158.14","162.15K","1.88%"
"11/06/2024","157.52","158.90","159.50","154.00","141.56K","-1.27%"
"11/05/2024","159.54","164.00","164.00","157.00","184.78K","-1.32%"
"11/04/2024","161.67","163.98","167.84","158.25","510.14K","-0.57%"
"11/01/2024","162.59","163.95","164.40","146.33","432.82K","7.31%"
"10/31/2024","151.51","160.93","169.49","149.00","633.94K","-3.80%"
"10/30/2024","157.50","158.10","161.32","154.50","388.65K","1.20%"
"10/29/2024","155.63","170.00","171.00","155.26","1.49M","-9.78%"
"10/28/2024","172.51","184.00","187.00","166.56","803.38K","-2.10%"
"10/25/2024","176.21","176.21","176.21","174.00","563.96K","10.00%"
"10/24/2024","160.19","148.50","160.19","147.00","476.71K","10.10%"
"10/23/2024","145.50","139.90","147.40","136.10","738.54K","5.59%"
"10/22/2024","137.80","131.46","138.99","131.00","450.64K","4.04%"
"10/21/2024","132.45","134.00","136.00","125.10","1.23M","1.39%"
"10/18/2024","130.63","120.11","130.63","120.11","2.50M","10.00%"
"10/17/2024","118.75","118.75","118.75","118.74","327.99K","10.00%"
"10/16/2024","107.95","100.00","107.95","100.00","252.94K","9.72%"
"10/15/2024","98.39","94.99","98.70","94.00","278.10K","3.57%"
"10/14/2024","95.00","91.80","95.00","90.00","658.74K","3.26%"
"10/11/2024","92.00","87.97","92.50","87.55","705.06K","4.78%"
"10/10/2024","87.80","88.00","88.10","87.50","112.99K","-4.36%"
"10/09/2024","91.80","92.15","93.39","91.00","481.43K","-0.21%"
"10/08/2024","91.99","93.49","93.89","91.86","270.50K","-0.98%"
"10/07/2024","92.90","93.30","94.70","90.15","344.66K","0.99%"
"10/04/2024","91.99","93.03","93.15","91.99","181.74K","-0.61%"
