"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2024","640.00","640.00","642.99","636.00","40.63K","0.31%"
"06/26/2024","641.00","641.80","644.50","636.00","57.22K","0.16%"
"06/27/2024","639.00","640.00","647.50","638.00","40.40K","-0.31%"
"06/28/2024","636.00","640.00","645.00","635.00","41.88K","-0.47%"
"07/01/2024","634.95","636.08","639.99","632.50","196.02K","-0.17%"
"07/02/2024","639.90","632.50","640.00","632.50","47.48K","0.78%"
"07/03/2024","631.95","634.50","638.00","629.50","200.42K","-1.24%"
"07/04/2024","634.90","632.00","635.89","632.00","37.20K","0.47%"
"07/05/2024","632.00","635.00","635.00","630.15","21.61K","-0.46%"
"07/08/2024","622.00","630.03","630.03","615.00","80.77K","-1.58%"
"07/09/2024","629.50","612.00","638.00","609.52","224.77K","1.21%"
"07/10/2024","613.98","628.00","629.00","609.98","172.41K","-2.47%"
"07/11/2024","609.90","614.00","616.98","605.00","69.82K","-0.66%"
"07/12/2024","610.50","614.00","619.70","600.00","92.15K","0.10%"
"07/15/2024","607.00","612.40","618.00","606.90","99.67K","-0.57%"
"07/18/2024","631.00","610.00","639.00","609.00","261.95K","3.95%"
"07/19/2024","616.00","632.00","638.00","615.11","124.54K","-2.38%"
"07/22/2024","616.00","618.01","620.00","609.00","89.16K","0.00%"
"07/23/2024","623.90","620.00","627.50","615.50","97.47K","1.28%"
"07/24/2024","621.50","623.90","624.40","618.50","85.75K","-0.38%"
"07/25/2024","620.00","620.00","625.50","619.00","56.79K","-0.24%"
"07/26/2024","618.00","620.00","620.86","611.00","66.36K","-0.32%"
"07/29/2024","628.00","620.00","628.00","616.25","71.76K","1.62%"
"07/30/2024","633.00","629.04","639.85","626.00","111.45K","0.80%"
"07/31/2024","632.00","634.00","636.00","623.00","50.68K","-0.16%"
"08/01/2024","632.00","632.50","632.50","627.00","36.33K","0.00%"
"08/02/2024","621.10","630.00","631.00","570.11","29.24K","-1.72%"
"08/05/2024","617.70","625.00","625.00","614.05","33.24K","-0.55%"
"08/06/2024","617.00","620.00","620.00","611.00","34.11K","-0.11%"
"08/07/2024","614.00","613.00","619.90","612.20","35.57K","-0.49%"
"08/08/2024","614.50","614.13","618.00","612.00","51.39K","0.08%"
"08/09/2024","616.00","612.61","619.00","612.61","30.01K","0.24%"
"08/12/2024","608.00","616.00","616.00","604.99","57.03K","-1.30%"
"08/13/2024","600.00","600.00","606.00","595.07","86.07K","-1.32%"
"08/15/2024","588.50","601.00","601.00","584.30","62.98K","-1.92%"
"08/16/2024","578.96","581.00","589.00","573.00","103.12K","-1.62%"
"08/19/2024","557.00","574.75","575.00","554.30","115.20K","-3.79%"
"08/20/2024","567.80","540.00","568.00","540.00","54.81K","1.94%"
"08/21/2024","570.00","571.00","576.00","568.00","30.67K","0.39%"
"08/22/2024","564.99","574.99","578.75","555.00","70.59K","-0.88%"
"08/23/2024","550.02","555.55","557.75","550.00","36.16K","-2.65%"
"08/26/2024","537.49","546.00","551.80","532.00","59.75K","-2.28%"
"08/27/2024","515.50","531.00","536.00","515.50","116.66K","-4.09%"
"08/28/2024","511.00","516.51","520.00","509.00","90.29K","-0.87%"
"08/29/2024","561.80","511.20","561.80","511.20","201.55K","9.94%"
"08/30/2024","584.99","568.70","603.00","568.70","293.32K","4.13%"
"09/02/2024","567.00","582.00","586.99","563.00","62.21K","-3.08%"
"09/03/2024","598.00","580.00","600.00","570.00","183.12K","5.47%"
"09/04/2024","599.00","600.00","615.00","597.02","140.60K","0.17%"
"09/05/2024","590.00","604.99","605.00","590.00","74.07K","-1.50%"
"09/06/2024","595.90","594.50","601.00","591.00","63.74K","1.00%"
"09/09/2024","561.00","600.00","603.50","536.00","348.76K","-5.86%"
"09/10/2024","567.89","562.00","567.89","562.00","67.36K","1.23%"
"09/11/2024","553.99","570.00","570.00","550.00","99.25K","-2.45%"
"09/12/2024","552.75","553.15","559.50","547.99","73.38K","-0.22%"
"09/13/2024","554.43","555.90","555.99","550.00","57.44K","0.30%"
"09/16/2024","550.00","552.05","559.00","545.00","103.50K","-0.80%"
"09/18/2024","551.10","555.00","557.00","549.00","123.57K","0.20%"
"09/19/2024","550.00","554.95","554.95","547.13","81.25K","-0.20%"
"09/20/2024","555.00","552.90","568.00","540.00","1.38M","0.91%"
"09/23/2024","549.00","554.00","565.00","549.00","96.86K","-1.08%"
"09/24/2024","546.10","552.80","558.00","544.40","58.78K","-0.53%"
"09/25/2024","555.60","550.00","555.60","546.00","34.54K","1.74%"
"09/26/2024","550.00","560.00","562.22","548.00","207.97K","-1.01%"
"09/27/2024","549.75","555.00","555.00","548.00","26.60K","-0.05%"
"09/30/2024","552.00","550.01","556.00","546.20","46.49K","0.41%"
"10/01/2024","550.00","553.81","555.00","548.00","42.71K","-0.36%"
"10/02/2024","551.00","549.99","557.00","549.50","158.24K","0.18%"
"10/03/2024","556.10","550.19","560.00","550.19","48.58K","0.93%"
"10/04/2024","553.00","555.00","560.00","553.00","144.01K","-0.56%"
"10/07/2024","554.00","554.00","556.98","550.20","40.26K","0.18%"
"10/08/2024","554.00","553.02","555.00","551.00","56.86K","0.00%"
"10/09/2024","555.00","555.00","558.00","551.95","37.19K","0.18%"
"10/10/2024","554.95","557.00","558.00","554.50","38.07K","-0.01%"
"10/11/2024","551.05","555.50","558.00","551.05","52.56K","-0.70%"
"10/14/2024","546.00","555.00","556.99","544.50","129.01K","-0.92%"
"10/15/2024","544.51","550.99","550.99","542.00","57.16K","-0.27%"
"10/16/2024","544.95","540.05","548.00","540.00","70.27K","0.08%"
"10/17/2024","540.50","545.00","546.00","539.02","106.13K","-0.82%"
"10/18/2024","541.00","541.00","542.00","532.00","108.90K","0.09%"
"10/21/2024","562.15","538.01","582.00","538.01","307.03K","3.91%"
"10/22/2024","564.00","562.02","569.99","559.70","726.89K","0.33%"
"10/23/2024","558.10","565.00","565.00","545.02","139.59K","-1.05%"
"10/24/2024","562.00","555.80","565.95","550.15","183.67K","0.70%"
"10/25/2024","555.11","562.50","595.00","516.00","942.79K","-1.23%"
"10/28/2024","539.71","562.95","562.95","537.50","259.13K","-2.77%"
"10/29/2024","544.00","540.00","555.00","531.00","451.92K","0.79%"
"10/30/2024","545.55","551.90","555.00","542.00","371.18K","0.28%"
"10/31/2024","538.99","538.00","549.90","536.05","193.12K","-1.20%"
"11/01/2024","550.40","545.00","560.00","536.05","220.26K","2.12%"
"11/04/2024","564.05","559.99","572.90","556.01","525.26K","2.48%"
"11/05/2024","578.00","568.95","581.00","560.01","363.18K","2.47%"
"11/06/2024","569.00","576.18","590.00","564.00","408.91K","-1.56%"
"11/07/2024","569.00","573.99","575.95","563.00","119.07K","0.00%"
"11/08/2024","588.00","571.94","592.00","567.00","1.66M","3.34%"
"11/11/2024","591.10","597.00","606.00","590.00","509.20K","0.53%"
"11/12/2024","585.00","600.00","603.99","582.00","207.97K","-1.03%"
"11/13/2024","573.80","589.69","589.69","573.00","197.13K","-1.91%"
"11/14/2024","583.50","579.90","597.97","574.00","297.69K","1.69%"
"11/15/2024","576.50","583.00","586.40","571.01","175.44K","-1.20%"
"11/18/2024","582.00","590.00","590.00","577.00","154.54K","0.95%"
"11/19/2024","580.00","585.49","586.00","579.00","216.20K","-0.34%"
"11/20/2024","579.00","583.00","583.00","575.00","292.81K","-0.17%"
"11/21/2024","582.00","579.36","584.99","575.11","308.95K","0.52%"
"11/22/2024","582.95","585.00","592.00","577.13","205.39K","0.16%"
